Comment,Designator,Footprint,LCSC
"1000u","C1","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"10u","C2,C3","Capacitor_SMD:C_1206_3216Metric","C13585"
"0.1u","C4,C5","Capacitor_SMD:C_0805_2012Metric","C49678"
"D","D1,D2","Diode_SMD:D_SOD-123","C64898"
"18V","D3","Diode_SMD:D_SOD-323","C124651"
"Conn_01x04","J1","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"Screw_Terminal_01x02","J2,J3","Connector_Wire:SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm",""
"Q_NMOS_GDS","Q1,Q2,Q3,Q4","Package_TO_SOT_THT:TO-220-3_Vertical",""
"470","R1","Resistor_SMD:R_1206_3216Metric","C25383"
"IRS2181","U1,U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C67284"
