Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","10u","C_1206_3216Metric",14.273000,35.052000,0.000000,top
"C3","10u","C_1206_3216Metric",16.256000,10.160000,180.000000,top
"C4","0.1u","C_0805_2012Metric",21.336000,28.006000,270.000000,top
"C5","0.1u","C_0805_2012Metric",9.144000,17.272000,90.000000,top
"D1","D","D_SOD-123",9.652000,27.940000,270.000000,top
"D2","D","D_SOD-123",20.828000,17.272000,90.000000,top
"D3","18V","D_SOD-323",9.652000,33.020000,270.000000,top
"R1","470","R_1206_3216Metric",49.276000,22.290500,270.000000,top
"U1","IRS2181","SOIC-8_3.9x4.9mm_P1.27mm",15.240000,27.940000,90.000000,top
"U2","IRS2181","SOIC-8_3.9x4.9mm_P1.27mm",15.240000,17.272000,270.000000,top
